Номер_группы,Название_группы,Идентификатор_группы,Номер_родителя,Идентификатор_родителя,HTML_заголовок_группы,HTML_описание_группы,HTML_ключевые_слова_группы
,Бытовые системы очистки воды,9000,,,,,
,Фильтры для очистки питьевой воды,9001,9000,,,,
,Сменные картриджи для воды,9002,9000,,,,
,Фильтрационные системы,9003,9000,,,,
,Магистральные фильтры для воды,9004,9000,,,,
,Фильтры для бытовой техники,9005,9000,,,,
,Расходные материалы и аксессуары,9006,,,,,
,Сменные картриджи для воды,9007,9006,,,,
,Излучатели,9008,9006,,,,
,Фильтрующие засыпки для очистки воды,9009,9006,,,,
,Аксессуары,9010,9006,,,,
,Бассейны,9011,,,,,
,Бассейны,9012,9011,,,,
,Средства ухода за бассейном,9013,9011,,,,
,Роботы пылесосы для бассейнов,9014,9011,,,,
,Реагенты и дозирования,9015,,,,,
,Реагенты,9016,9015,,,,
,Станции химической промывки мембран,9017,9015,,,,
,Станции дозирования,9018,9015,,,,
,"Диспенсеры, автоматы, киоски",9019,,,,,
,Автоматы,9020,9019,,,,
,Диспенсеры,9021,9019,,,,
,Киоски,9022,9019,,,,
